path,size,created,modified,efs_status,efs_detected_by,algorithm,key_length,decrypt_users,decrypt_thumbprints,source
D:\8th SEMESTER\DF\PROJECT\demo\RealEfsDataset\Users\employee1\Documents\EfsConfirmed\executive_merger_strategy.txt,83,2026-04-22T16:50:41.638764,2026-04-22T16:50:41.638764,confirmed,"cipher_confirmation, windows_encrypted_attribute",AES,256,DESKTOP-KRCN3RJ\Ibrahim Khan [Ibrahim Khan(Ibrahim Khan@DESKTOP-KRCN3RJ)],924C 67DC 16CA 5246 8288 BE8E 55F5 32BB BB98 91CA,D:\8th SEMESTER\DF\PROJECT\demo\RealEfsDataset
D:\8th SEMESTER\DF\PROJECT\demo\RealEfsDataset\Users\employee1\Documents\EfsConfirmed\payroll_adjustments_2026.csv,47,2026-04-22T16:50:41.638764,2026-04-22T16:50:41.638764,confirmed,"cipher_confirmation, windows_encrypted_attribute",AES,256,DESKTOP-KRCN3RJ\Ibrahim Khan [Ibrahim Khan(Ibrahim Khan@DESKTOP-KRCN3RJ)],924C 67DC 16CA 5246 8288 BE8E 55F5 32BB BB98 91CA,D:\8th SEMESTER\DF\PROJECT\demo\RealEfsDataset
